start_year,end_year,name,region,deaths_estimate,sources_notes
-430,-426,Plague of Athens,Mediterranean,75000,"Thucydides; epidemic during Peloponnesian War"
165,180,Antonine Plague,Roman Empire,7500000,"Galen; possibly measles or smallpox"
250,266,Plague of Cyprian,Roman Empire,5000000,"Cyprian of Carthage; possibly Ebola or smallpox"
541,549,Plague of Justinian (first wave),Eastern Mediterranean,30000000,"Procopius; Yersinia pestis, multiple waves to ~750"
735,737,Japanese smallpox epidemic,Japan,1000000,"Shoku Nihongi; ~25-35% of Japanese population"
1346,1353,Black Death,Eurasia/North Africa,75000000,"Boccaccio; Yersinia pestis; 30-60% of European pop"
1545,1548,Cocoliztli epidemic,Mesoamerica,15000000,"Acuna-Soto et al.; possibly indigenous viral hemorrhagic fever"
1576,1580,Cocoliztli epidemic (second),Mesoamerica,2500000,"Acuna-Soto et al."
1629,1631,Italian plague,Italy,1000000,"Manzoni; Yersinia pestis"
1647,1652,Great Plague of Seville,Spain,250000,"Spanish chronicles"
1665,1666,Great Plague of London,England,100000,"Defoe; Yersinia pestis"
1720,1722,Great Plague of Marseille,France,100000,"Last major Western European plague"
1770,1772,Russian plague,Russia,100000,"Catherine II era; concentrated in Moscow"
1775,1782,North American smallpox,North America,130000,"Fenn; among indigenous populations"
1817,1824,First cholera pandemic,Asia/Mediterranean,1000000,"Originated in Ganges delta"
1827,1835,Second cholera pandemic,Asia/Europe/Americas,2000000,"Reached Europe and Americas"
1846,1860,Third cholera pandemic,Global,1000000,"Global spread"
1855,1959,Third plague pandemic,Global,12000000,"Started Yunnan; included 1894 Hong Kong outbreak"
1863,1875,Fourth cholera pandemic,Global,600000,"Including Russia and Middle East"
1875,1875,Fijian measles epidemic,Pacific,40000,"30% of Fiji population"
1881,1896,Fifth cholera pandemic,Global,300000,"Last major cholera pandemic before sanitation"
1889,1890,Russian flu / Asiatic flu,Global,1000000,"Possibly H3N8 or coronavirus OC43"
1899,1923,Sixth cholera pandemic,Asia/Russia/Africa,800000,"Concentrated India and Russia"
1918,1920,Spanish flu (H1N1),Global,50000000,"World War I context; deadliest pandemic of 20th C"
1957,1958,Asian flu (H2N2),Global,2000000,"Second deadliest 20th C flu pandemic"
1961,1975,Seventh cholera pandemic,Global,2000000,"Vibrio cholerae El Tor biotype; still ongoing technically"
1968,1970,Hong Kong flu (H3N2),Global,2000000,"H3N2 strain still circulates"
1976,1977,Russian flu (H1N1 reintroduction),Global,700000,"Genetically identical to 1950 strain"
1981,2025,HIV/AIDS pandemic,Global,42000000,"Ongoing; UNAIDS cumulative through 2024"
2002,2004,SARS,Asia/Global,774,"Coronavirus SARS-CoV-1"
2009,2010,H1N1 swine flu,Global,300000,"Pandemic declared by WHO"
2012,2025,MERS,Middle East/Asia,950,"Coronavirus MERS-CoV; sporadic outbreaks"
2014,2016,West African Ebola,West Africa,11325,"Largest Ebola outbreak"
2018,2020,Kivu Ebola outbreak,Central Africa,2300,"Second-largest Ebola outbreak"
2019,2023,COVID-19,Global,7000000,"SARS-CoV-2; 15-30M excess deaths estimate; 7M confirmed"
2022,2023,Mpox outbreak,Global,200,"WHO PHEIC; previously called monkeypox"
